Manuscript Identifier	COI	Funding
PONE-D-15-21670	"The authors have the following interests. This study was partly funded by Integrated BioTherapeutics, Inc. (IBT) internal R&D research fund. Rajan P. Adhikari, Thomas Kort, Sergey Shulenin, Frederick W. Holtsberg and M. Javad Aman are employees of Integrated Biotherapeutics Inc., a company that is developing vaccines for S. aureus. M. Javad Aman is a shareholder of the company and RPA, SS, and FWH own stock options in the company. There are no patents, products in development or marketed products to declare. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials, as detailed online in the guide for authors."	"This work was partially supported by grants (AI106162 to R.P.A. and AI098232 to M.J.A.) from the National Institute of Allergy and Infectious Diseases (NIAID) and partially from Integrated BioTherapeutics, Inc. (IBT) internal R&D research fund. Integrated BioTherapeutics, Inc. provided support in the form of salaries for authors RPA, TK, SS, FWH and MJA but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the 'author contributions' section."
PONE-D-15-21693	The authors have declared that no competing interests exist.  	"Support was provided by Universidad de Alcalá E02. The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21694	The authors have declared that no competing interests exist.	"This work was financially supported by the National Natural Science Foundation of China (31370431) to JFC, (31270042) to JGC, (31272304) to YZT, http://www.nsfc.gov.cn/publish/portal1/; and the Fellowship for Young International Scientists of the Chinese Academy of Sciences (31350110508) to TJ. "
PONE-D-15-21700	The authors have declared that no competing interests exist.	"This work was funded by the South African Medical Research Council (SAMRC) (www.mrc.ac.za) to WFF (no grant number issued), and National Research Foundation of South Africa (NRF) (www.nrf.ac.za) to MS. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.   "
PONE-D-15-21752	The authors have declared that no competing interests exist.	"This work was supported by Leukaemia and Lymphoma Research (leukaemialymphomaresearch.org.uk) (grant number 12030). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21754	The authors have declared that no competing interests exist.	"This work was supported by: 1. TEDCO Maryland Stem Cell Research. Award number: MSCRFE-0232. Recipient: Shao Jun Du, Ph.D. Website: http://www.mscrf.org/; and 2. United States – Israel Binational Agricultural Research and Development Fund. Award number: IS-4493-12. Recipient: Shao Jun Du, Ph.D. Website: https://www.bard-isus.com/; and 3. National Natural Science Foundation of China. Award number: 31400979. Recipient: Qiuxia He, Ph.D. Website: http://www.nsfc.gov.cn/publish/portal1/. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21756	The authors have declared that no competing interests exist.	This study was supported by National Institute on Aging R37 AG022102 to PD.
PONE-D-15-21763	The authors have declared that no competing interests exist.	"This work was supported with the research grants awarded to M.G. from Cure CMD, Struggle Against Muscular Dystrophy (SAM), Muscular Dystrophy Association (218938), the Paul D. Wellstone Muscular Dystrophy Cooperative Research Center (U54AR052646) and the National High Magnetic Field Laboratory, which is supported by NSF DMR-1157490 and the State of Florida. "
PONE-D-15-21766	The authors have declared that no competing interests exist.	"This work was supported by the National Institutes of Health, grant RO1 GM050545 to SW. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21774	"SBP, LMK, MY, PV, MD, LFS, JS, MTU, H, SC and VHO are employees of Eli Lilly and company.  DP is a retired employee, and Xiaoyi Zhang was a former employee of Eli Lilly and Company.  This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials. "	"Eli Lilly and Company provided support in the form of salaries for authors [SBP, XZ, DP, LMK, MY, PV, MD, LFS, JS, MTU, HL, SC, and VHO], but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript.  The specific roles of these authors are articulated in the “author contributions� section."
PONE-D-15-21801	"The authors have the following interests: Granol Indústria Comércio e Exportação S.A. provided financial support to cover expenses related to animals, feed, and management. Dr Pedro Veiga Rodrigues Paulino is affiliated to Cargill Animal Nutrition / Nutron. There are no patents, products in development or marketed products to declare. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials."	"The National Council for Scientific and Technological Development (CNPq) provided graduate scholarship to Pedro Del Bianco Benedeti. Granol Indústria Comércio e Exportação S.A. provided financial support to cover expenses related to animals, feed, and management. These funding organizations did not play a role in the study design, data collection and analysis, decision to publish, or manuscript preparation. At the time of this study Dr. Pedro Veiga Rodrigues Paulino held a faculty position at the Federal University of Viçosa, he is currently employed by Cargill Animal Nutrition / Nutron. Cargill Animal Nutrition / Nutron did not play a role in the study design, data collection and analysis, decision to publish, or manuscript preparation."
PONE-D-15-21824	The authors have declared that no competing interests exist.	The authors have no support or funding to report. 
PONE-D-15-21862	The authors have declared that no competing interests exist.	"This work was supported by a grant to DI from the Ministry of Education, Culture, Sports, Science, and Technology of Japan (23700593). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21870	The authors have declared that no competing interests exist.	The authors have no support or funding to report.
PONE-D-15-21890	The authors have declared that no competing interests exist.	"This work was funded by Colciencias 110151928994 to Gonzalo Arboleda, R01 AG029802-01 NIA/NIH.2007-2012 to Patricia Cardona, and NIH AG027476 to Herman Moreno."
PONE-D-15-21900	The authors have declared that no competing interests exist.	"Funding was provided by Indian Council of Medical Research [Grant No. 61/4/2012-BMS]; Council of Scientific and Industrial Research (Senior Research Fellowships to KT and MSA); and Department of Biotechnology, Government of India (Senior Research Fellowships to MZ and RKT). The funders had no role in study design, data collection and analysis, decision to publish or preparation of the manuscript."
PONE-D-15-21911	The authors have declared that no competing interests exist.	"This research was supported by the Natural Science Foundation of China (31272467, 31472114). The funders had no role in study design, data collection, data analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21918	The authors have declared that no competing interests exist.	"This study was supported by the Hannover Medical School by means of MHH-HiLF. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21940	The authors have declared that no competing interests exist.	"LS received funding for this study from the Deutsche Forschungsgemeinschaft, grant number STE1987/4-1. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21944	The authors have declared that no competing interests exist.	This study is supported by a Victoria University Research Development Grant.
PONE-D-15-21949	The authors have declared that no competing interests exist. 	"This study was financially supported by the Tuberculosis and Lung Research Center of Tabriz University of Medical Sciences and the Research Council of University of Tabriz. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
